"","model_type","R0","gamma_val","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se","comment"
"73",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.7625,91.05989703,3.078125,-83.74084156,0.047550178,"Evaluating likhood for d-zeta, profile, set 1"
"74",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.3625,91.05989703,12.578125,-175.6541499,0.056841109,"Evaluating likhood for d-zeta, profile, set 1"
"75",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.3125,91.05989703,9.015625,-97.46825528,0.019777601,"Evaluating likhood for d-zeta, profile, set 1"
"76",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.7125,91.05989703,18.515625,-546.0543139,0.735559806,"Evaluating likhood for d-zeta, profile, set 1"
"77",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.9125,91.05989703,4.265625,-154.4583447,0.0307971,"Evaluating likhood for d-zeta, profile, set 1"
"78",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.5125,91.05989703,13.765625,-296.9793088,0.178358894,"Evaluating likhood for d-zeta, profile, set 1"
"79",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.4125,91.05989703,1.890625,-59.71784669,0.010914113,"Evaluating likhood for d-zeta, profile, set 1"
"80",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.8125,91.05989703,11.390625,-401.0066117,0.863674415,"Evaluating likhood for d-zeta, profile, set 1"
"81",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.6125,91.05989703,6.640625,-157.0747946,0.114197436,"Evaluating likhood for d-zeta, profile, set 1"
"82",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.2125,91.05989703,16.140625,-121.868228,0.102242961,"Evaluating likhood for d-zeta, profile, set 1"
